SKU,NAME,ID,pif1,pif2,pif3,pif4,pif5,pif6,pif7,pif8,pif9
TESTBC,Test BC Item,6879,https://www.primosupply.com/images/1%20inch%20funny.jpg,https://www.primosupply.com/images/HF-S14FC-100A-BK.jpg,https://www.primosupply.com/images/1%20inch%20ibis.jpg,https://www.primosupply.com/images/4002_fillstation.jpg,https://www.primosupply.com/images/PW-HE18V.jpg,https://www.primosupply.com/images/pkx201b.png,https://www.primosupply.com/images/2.5AGE37V.JPG,https://www.primosupply.com/images/VIQ-S8Q-PA.JPG,https://www.primosupply.com/images/US%20ARMY.jpg
TESTBC-ATC,"Test BC Item, ADD TO CART FOR PRICE                                                                                     ",4661,https://www.primosupply.com/images/Primo-Supply-logo.png,,,,,,,,
TESTBC-CBP,"Test BC item, CALL FOR BEST PRICE                                                                                       ",4662,https://www.primosupply.com/images/Primo-Supply-logo.png,,,,,,,,
TESTBC-CTO,"Test BC Item, CALL TO ORDER                                                                                             ",4663,https://www.primosupply.com/images/Primo-Supply-logo-TM.png,,,,,,,,
TESTBC-FGS,"Test BC Item, FREE GROUND SHIPPING                                                                                      ",4664,https://www.primosupply.com/images/PRIMOPUMPSLOGO.PNG,,,,,,,,
TESTBC-ISO,"Test BC Item, IN STORE ONLY                                                                                             ",4665,https://www.primosupply.com/images/Primo-Supply-logo-TM.png,,,,,,,,
TESTBC-MAP,"Test BC Item, MAP                                                                                                       ",4666,https://www.primosupply.com/images/Primo-Supply-logo-TM.png,,,,,,,,
TESTBC-TRK,"Test BC Item, SHIPS VIA LTL TRUCK                                                                                       ",4667,https://www.primosupply.com/images/Primo-Supply-logo-TM.png,,,,,,,,
TESTFIXEDDISC,First Description Line Of Test Item,9023,https://www.primosupply.com/images/coronavirus_banner.jpg,https://www.primosupply.com/images/coronavirus_CDC_link_image.png,,,,,,,
TIKI-BAR2MASK-LG,"Wall Decor, Tiki Bar 2-Mask Sign 39"" LARGE                                                                              ",8764,https://www.primosupply.com/images/TIKIBAR%20SIGN_clipped_rev_1.jpeg,,,,,,,,
